Claim_ID,Policy_ID,Accident_Date,FNOL_Date,Claim_Type,Claim_Complexity,Fraud_Flag,Litigation_Flag,Estimated_Claim_Amount,Ultimate_Claim_Amount,Severity_Band,Settlement_Date,Status,Customer_ID,Age_of_Driver,Gender,Occupation,Region,Annual_Mileage,Driving_Experience_Years,Vehicle_Type,Vehicle_Age,Credit_Score_Band
CLM34480,POL12866,30/07/2024,30/07/2024,Collision,Low,FALSE,FALSE,1437,,Minor,,open,CUST22866,57,Male,Employed,London,13271,39,SUV,13,Good
CLM32863,POL10221,06/06/2021,08/06/2021,Collision,Low,FALSE,FALSE,2269,,Minor,,open,CUST20221,73,Male,Unemployed,Birmingham,17962,55,Sedan,8,Fair
CLM31555,POL13724,10/01/2023,12/01/2023,Collision,Low,FALSE,FALSE,2061,,Minor,,open,CUST23724,69,Female,Retired,Edinburgh,16386,51,Sedan,3,Good
CLM31089,POL14200,01/06/2021,04/06/2021,Collision,Low,FALSE,FALSE,1499,,Minor,,open,CUST24200,44,Male,Student,Birmingham,15772,24,Hatchback,14,Excellent
CLM31908,POL14618,26/08/2020,27/08/2020,Collision,Low,FALSE,FALSE,2603,,Minor,,open,CUST24618,56,Male,Employed,Newcastle,8100,37,Hatchback,4,Good
CLM30318,POL11966,06/04/2022,07/04/2022,Collision,Low,FALSE,FALSE,1001,,Minor,,open,CUST21966,39,Male,Student,Cardiff,13585,20,Van,1,Excellent
CLM30445,POL14145,04/08/2022,05/08/2022,Collision,Low,FALSE,FALSE,2909,,Minor,,open,CUST24145,72,Female,Retired,London,15441,52,Van,12,Excellent
CLM30483,POL14042,02/02/2022,03/02/2022,Collision,Low,FALSE,FALSE,2771,,Minor,,open,CUST24042,20,Female,Student,London,18491,0,Coupe,0,Poor
CLM31699,POL13263,28/02/2023,28/02/2023,Collision,Low,FALSE,FALSE,1898,,Minor,,open,CUST23263,74,Male,Retired,Leeds,17584,54,Hatchback,9,Excellent
CLM30555,POL12087,27/06/2021,27/06/2021,Collision,Low,FALSE,FALSE,1924,,Minor,,open,CUST22087,35,Female,Self-Employed,Bristol,11588,15,Sedan,4,Excellent
CLM30564,POL14139,06/05/2021,08/05/2021,Collision,Low,FALSE,FALSE,1414,,Minor,,open,CUST24139,23,Male,Student,Bristol,8964,4,Hatchback,14,Poor
CLM34242,POL13739,23/07/2019,25/07/2019,Collision,Low,FALSE,FALSE,1429,,Minor,,open,CUST23739,30,Female,Employed,Newcastle,9145,9,Sedan,10,Fair
CLM33807,POL10600,01/09/2021,04/09/2021,Collision,Low,FALSE,FALSE,1877,,Minor,,open,CUST20600,79,Female,Retired,Cardiff,17365,59,Coupe,16,Good
CLM34303,POL10696,29/08/2023,29/08/2023,Collision,Low,FALSE,FALSE,1317,,Minor,,open,CUST20696,68,Male,Retired,Leeds,14095,48,Van,6,Good
CLM30906,POL12331,12/12/2018,14/12/2018,Collision,Low,FALSE,FALSE,2481,,Minor,,open,CUST22331,29,Female,Employed,Manchester,10718,10,Van,7,Excellent
CLM30943,POL11352,19/10/2024,21/10/2024,Collision,Low,FALSE,FALSE,3643,,Minor,,open,CUST21352,33,Female,Employed,London,6767,12,Motorcycle,14,Good
CLM30987,POL13380,03/05/2020,04/05/2020,Collision,Low,FALSE,FALSE,2885,,Minor,,open,CUST23380,55,Male,Unemployed,Newcastle,11703,35,Sedan,6,Excellent
